CITIES,INDIC_UR\TIME	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
München,Population on the 1st of January, total	:	:	1,256,638	:	:	1,244,676	1,225,810	1,225,809	1,205,923	1,188,897	1,210,223	1,227,958	1,234,692	1,247,873	1,247,873	1,249,176	1,259,677	1,294,608	1,311,573	1,326,807	1,330,440	1,353,186	1,364,920	1,388,308	1,407,836	1,429,584	1,450,381	1,464,301	1,456,039	:
Köln,Population on the 1st of January, total	:	:	960,631	:	:	963,817	964,346	964,346	964,311	962,580	962,884	967,940	968,639	965,954	965,954	969,709	983,347	989,766	995,397	995,420	998,105	1,007,119	1,013,665	1,024,373	1,034,175	1,046,680	1,060,582	1,075,935	1,080,394	:
Frankfurt am Main,Population on the 1st of January, total	:	:	663,952	:	:	652,412	647,304	647,304	643,469	643,857	646,550	641,076	643,726	643,432	643,432	646,889	651,899	652,610	659,021	664,838	671,927	679,664	676,533	687,775	701,350	717,624	732,688	736,414	746,878	:
Essen,Population on the 1st of January, total	:	:	627,269	:	:	617,955	611,827	611,827	608,732	603,194	595,243	591,889	585,481	589,499	589,499	588,084	585,430	583,198	582,140	579,759	576,259	574,635	565,900	566,862	569,884	573,784	582,624	583,084	583,393	:
Stuttgart,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	587,152	588,477	589,161	589,161	590,657	592,569	593,923	597,176	600,068	601,646	606,588	591,015	597,939	604,297	612,441	623,738	628,032	632,743	:
Leipzig,Population on the 1st of January, total	:	:	542,512 e	536,226 e	527,613 e	519,710 e	509,836 e	501,794 e	495,288 e	493,872 e	493,208 e	493,052 e	494,795 e	497,531 e	497,531	498,491	502,651	506,578	510,512	515,469	518,862	522,883	510,043	520,838	531,562	544,479	560,472	571,088	581,980	:
Dresden,Population on the 1st of January, total	:	:	502,900 e	500,500 e	495,700 e	490,377 e	482,600 e	480,700 e	474,300 e	476,668 e	477,807 e	478,631 e	480,228 e	483,632 e	483,632	487,421	495,181	504,795	507,513	512,234	517,052	523,058	517,765	525,105	530,754	536,308	543,825	547,172	551,072	:
Dortmund,Population on the 1st of January, total	:	:	600,669	:	:	600,918	597,024	597,024	594,866	591,733	588,994	589,240	590,831	589,661	589,661	588,680	588,168	587,624	586,909	584,412	581,308	580,444	571,403	572,087	575,944	580,511	586,181	585,813	586,600	:
Düsseldorf,Population on the 1st of January, total	:	:	578,135	:	:	572,638	571,475	571,475	570,969	568,440	569,364	570,765	571,886	572,511	572,511	572,663	574,514	577,505	581,122	584,217	586,217	588,735	589,649	593,682	598,686	604,527	612,178	613,230	617,280	:
Bremen,Population on the 1st of January, total	:	:	554,377	:	:	549,182	548,826	548,826	546,968	543,279	539,403	540,950	542,987	544,853	544,853	545,932	546,852	547,934	547,769	547,360	547,685	547,340	544,043	546,451	548,547	551,767	557,464	565,719	568,006	:
Hannover,Population on the 1st of January, total	:	:	523,627	:	:	525,763	522,574	522,574	520,670	516,157	515,001	516,415	517,310	516,160	516,160	515,841	515,729	516,343	518,069	519,619	520,966	522,686	509,485	514,137	518,386	523,642	532,163	532,864	535,061	:
Nürnberg,Population on the 1st of January, total	:	:	500,198	:	:	495,845	492,864	492,864	489,758	487,145	488,400	491,307	493,397	493,553	493,553	495,302	499,237	500,855	503,110	503,638	503,673	505,664	490,085	495,121	498,876	501,072	509,975	511,628	515,201	:
Bochum,Population on the 1st of January, total	:	:	400,356	:	:	401,129	398,467	398,467	395,837	393,236	391,147	390,087	388,869	387,283	387,283	388,179	385,626	383,743	381,542	378,596	376,319	374,737	362,585	362,213	361,734	361,876	364,742	364,920	365,529	:
Bielefeld,Population on the 1st of January, total	:	:	324,287	:	:	324,067	324,132	324,132	323,223	321,831	321,758	323,373	324,815	328,452	328,452	328,012	326,925	325,846	324,912	323,615	323,084	323,270	327,199	328,314	328,864	329,782	333,090	333,451	332,552	:
Halle an der Saale,Population on the 1st of January, total	:	:	299,884	:	:	290,051	276,624	276,624	268,365	:	247,736	243,045	239,355	240,119	240,119	238,497	237,198	235,720	234,295	233,013	232,323	232,963	230,494	231,440	231,565	232,470	236,991	238,005	239,173	:
Magdeburg,Population on the 1st of January, total	:	:	274,244	:	:	265,379	251,031	251,031	245,509	239,462	231,450	229,755	228,170	227,535	227,535	226,675	229,126	229,826	230,140	230,047	230,456	231,525	228,910	229,924	231,021	232,306	235,723	238,136	238,478	:
Wiesbaden,Population on the 1st of January, total	:	:	268,069	:	:	266,081	267,669	267,669	267,726	267,187	270,109	271,076	271,553	271,995	271,995	274,076	274,611	275,562	275,849	276,742	277,493	275,976	270,952	272,636	273,871	275,116	276,218	277,619	278,654	:
Göttingen,Population on the 1st of January, total	:	:	128,299	:	:	127,519	126,451	126,451	127,366	125,984	124,132	123,822	:	:	122,883	122,187	121,884	121,581	121,513	121,455	121,457	121,060	116,052	116,650	116,891	117,665	118,914	119,177	119,529	:
Mülheim a.d.Ruhr,Population on the 1st of January, total	:	:	176,962	:	:	176,513	176,000	176,000	175,507	174,514	172,862	172,332	172,171	170,745	170,745	170,327	169,917	169,414	168,925	168,288	167,471	167,344	166,804	166,654	166,640	167,108	169,278	170,936	171,265	:
Moers,Population on the 1st of January, total	:	:	106,384	:	:	107,011	107,099	107,099	106,704	106,840	107,062	107,421	108,019	107,903	107,903	107,930	107,547	107,180	107,111	106,645	105,929	105,506	103,831	103,504	103,108	102,923	104,529	103,881	103,949	:
Darmstadt,Population on the 1st of January, total	:	:	141,431	:	:	139,063	138,442	138,442	137,876	137,511	138,242	138,457	138,959	139,698	139,698	140,078	140,562	141,257	142,191	142,310	143,332	144,402	145,845	147,925	149,743	151,879	155,353	157,437	158,254	:
Trier,Population on the 1st of January, total	:	:	98,958	:	:	99,602	99,750	99,750	99,691	99,650	99,410	100,024	100,234	100,180	100,180	100,163	99,843	103,518	103,888	104,640	104,587	105,260	106,284	106,544	107,233	108,472	114,914	110,111	110,013	:
Freiburg im Breisgau,Population on the 1st of January, total	:	:	195,789	:	:	198,496	200,393	200,393	200,519	200,980	205,102	208,294	210,234	212,495	212,495	213,998	215,966	217,547	219,430	219,665	221,924	224,191	214,234	218,043	220,286	222,203	226,393	227,590	229,636	:
Regensburg,Population on the 1st of January, total	:	:	124,398	:	:	125,608	125,318	125,318	125,085	124,852	125,676	127,198	128,029	128,604	128,604	128,917	129,859	131,342	132,495	133,525	134,218	135,520	136,352	138,296	140,276	142,292	145,465	148,638	150,894	:
Frankfurt (Oder),Population on the 1st of January, total	:	:	84,937	:	:	82,323	79,784	79,784	77,891	75,710	72,131	70,308	68,351	67,014	67,014	65,242	63,748	62,594	61,969	61,286	60,625	60,330	59,063	58,537	58,018	57,649	58,092	58,193	58,237	:
Weimar,Population on the 1st of January, total	:	:	62,750	:	:	62,233	61,964	61,964	62,176	62,324	62,425	63,522	64,069	64,409	64,409	64,491	64,594	64,481	64,720	64,938	65,233	65,479	62,886	63,236	63,315	63,477	64,131	64,355	64,426	:
Schwerin,Population on the 1st of January, total	:	:	124,084	:	:	118,291	111,029	111,029	110,847	105,213	101,267	99,978	98,742	97,694	97,694	97,110	96,656	96,280	95,855	95,551	95,041	95,220	91,327	91,264	91,583	92,138	96,800	95,668	95,797	:
Erfurt,Population on the 1st of January, total	:	:	218,770	:	:	213,472	208,179	208,179	205,361	202,931	200,564	200,126	199,967	201,645	201,645	202,450	202,844	202,658	202,929	203,333	203,830	204,994	201,952	203,485	204,880	206,219	210,118	211,113	212,988	:
Augsburg,Population on the 1st of January, total	:	:	264,852	:	:	262,110	258,457	258,457	256,625	254,610	254,982	257,836	259,231	259,217	259,217	260,407	262,676	262,512	262,992	263,313	263,646	264,708	269,402	272,699	276,542	281,111	286,374	289,584	292,851	:
Bonn,Population on the 1st of January, total	:	:	298,227	:	:	293,072	302,873	302,873	304,841	304,639	302,247	306,016	308,921	311,052	311,052	311,938	312,818	314,299	316,416	317,949	319,841	324,899	307,530	309,869	311,287	313,958	318,809	322,125	325,490	:
Karlsruhe,Population on the 1st of January, total	:	:	279,329	:	:	277,011	277,191	277,191	276,571	276,536	278,558	279,578	281,334	282,595	282,595	284,163	285,263	286,327	288,917	290,736	291,959	294,761	291,995	296,033	299,103	300,051	307,755	309,999	311,919	:
Mönchengladbach,Population on the 1st of January, total	:	:	265,069	:	:	266,073	266,873	266,873	266,505	264,662	263,014	262,963	263,104	262,391	262,391	261,966	261,444	260,951	260,018	258,848	258,251	257,993	254,834	255,087	255,430	256,853	259,996	260,925	262,188	:
Mainz,Population on the 1st of January, total	177,062	179,486	184,646	184,646	185,487	184,627	184,752	184,752	186,136	185,970	182,870	185,293	186,103	185,532	185,532	186,061	194,372	196,425	198,118	197,623	197,778	199,237	201,002	202,756	204,268	206,991	209,779	213,528	215,110	:
Kiel,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	232,242	233,270	233,039	233,039	233,329	234,433	235,366	236,902	237,579	238,281	239,526	237,667	239,866	241,533	243,148	246,306	247,441	247,943	:
Saarbrücken,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	182,858	181,360 e	181,860	181,860	180,269	178,914	177,870	176,452	176,749	175,810	175,741	176,497	176,996	177,201	176,926	178,151	179,709	180,966	:
Potsdam,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	140,779 e	:	144,979	144,979	145,707	147,583	148,813	150,833	152,966	154,606	156,906	157,603	159,456	161,468	164,042	167,745	171,810	175,710	:
Koblenz,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	107,730	107,891	107,608	107,608	107,039	106,501	105,888	106,087	106,293	106,445	106,417	107,954	109,779	110,643	111,434	112,586	113,605	113,844	:
Rostock,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	198,964	198,259	198,303	198,303	198,993	199,288	199,868	200,413	201,096	201,442	202,735	201,813	202,887	203,431	204,167	206,011	207,513	208,409	:
Kaiserslautern,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	99,095	99,182	98,372	98,044	97,770	97,436	99,275	99,184	96,963	97,112	97,162	97,382	98,520	99,302	99,684	:
Iserlohn,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	98,234	97,728	97,285	96,546	96,112	95,598	95,232	94,966	94,367	93,799	93,119	92,899	93,537	93,197	92,928	:
Esslingen am Neckar,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	91,980	92,299	92,091	91,758	91,557	91,573	91,463	91,869	87,519	88,295	89,242	90,378	91,271	92,186	93,004	:
Hanau,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	88,897	88,772	88,746	88,472	88,287	88,245	88,358	88,637	86,803	88,834	89,907	90,934	92,643	95,370	96,130	:
Wilhelmshaven,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	84,586	84,118	83,552	82,797	82,192	81,411	81,137	81,324	76,926	76,545	75,728	75,534	75,995	76,201	76,316	:
Ludwigsburg,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	87,581	87,572	87,673	87,280	87,349	87,207	87,460	87,735	86,939	88,200	89,639	91,116	92,973	93,035	93,593	:
Tübingen,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	83,137	83,360	83,496	83,740	83,813	85,344	87,788	88,358	83,248	84,496	85,383	85,871	87,464	88,347	89,447	:
Villingen-Schwenningen,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	81,813	81,913	81,778	81,825	81,417	81,246	80,941	81,022	80,268	80,923	81,128	81,916	84,674	84,070	84,557	:
Flensburg,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	85,300	85,762	86,080	86,630	87,792	88,718	88,502	88,759	82,801	83,462	83,971	84,694	85,942	87,432	88,519	:
Marburg,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	78,511	78,701	79,139	79,375	79,240	79,836	80,123	80,656	72,190	72,433	73,125	73,147	73,836	74,675	76,226	:
Konstanz,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	80,716	81,092	81,217	81,006	81,511	82,608	83,644	84,693	78,539	79,645	81,141	81,692	82,859	83,789	84,441	:
