CITIES,INDIC_UR\TIME	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Glasgow City,Population on the 1st of January, total	631,140 e	629,220 e	622,210 e	616,680 e	612,260 e	604,080 e	598,840 e	590,660 e	587,050 e	582,950 e	577,020 e	577,869 e	577,400 de	577,100 de	577,700 de	578,800 de	580,700 de	581,900 de	584,200 de	588,500 de	584,100 be	593,245 bd	594,100 be	595,800 e	598,100 e	602,990	610,705	618,045	623,715	:
Greater Glasgow,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	986,575	996,545	1,004,220	:
Bradford,Population on the 1st of January, total	:	468,800 e	469,300 e	470,300 e	470,600 e	470,100 e	468,800 e	467,000 e	465,600 e	464,200 e	464,300 e	467,657	473,900 de	476,600 de	480,900 de	486,200 de	491,600 de	496,200 de	501,400 de	506,800 de	515,200 be	522,452 bd	523,900 be	525,500 e	527,300 e	529,666	532,728	533,670 b	535,987	:
Liverpool,Population on the 1st of January, total	:	475,600 e	473,000 e	470,300 e	466,300 e	462,400 e	458,300 e	453,200 e	449,900 e	445,200 e	443,100 e	439,476	441,500 de	440,300 de	441,500 de	443,300 de	443,300 de	442,600 de	441,100 de	442,300 de	459,500 be	466,415 bd	467,700 be	470,200 e	471,900 e	475,827	481,579	489,577 b	493,182	:
Liverpool,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	1,055,400 be	1,061,406 bd	1,063,200 be	1,065,900 e	1,068,200 e	1,394,572 b	1,402,239	1,413,990 b	1,419,945	:
City of Edinburgh,Population on the 1st of January, total	436,140 e	436,320 e	436,670 e	438,300 e	440,120 e	443,860 e	444,910 e	445,720 e	446,240 e	447,190 e	448,430 e	448,624 e	448,100 de	448,400 de	453,700 de	457,800 de	463,500 de	468,100 de	471,700 de	477,700 de	466,600 be	476,626 bd	480,300 be	485,100 e	490,100 e	495,710	502,990	510,190	515,855	:
Manchester,Population on the 1st of January, total	:	432,700 e	424,600 e	421,100 e	415,900 e	413,100 e	406,400 e	398,700 e	395,800 e	391,800 e	394,700 e	418,600 e	426,000 de	432,400 de	438,700 de	447,000 de	455,700 de	465,200 de	473,200 de	483,800 de	488,200 be	503,127 bd	506,800 be	512,600 e	517,300 e	525,254	535,778	543,410 b	546,564	:
Greater Manchester,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	2,650,800 be	2,682,528 bd	2,693,800 be	2,708,600 e	2,723,900 e	2,744,508	2,769,152	2,789,822 b	2,805,684	:
Cardiff,Population on the 1st of January, total	:	296,900 e	297,000 e	298,300 e	297,500 e	298,400 e	301,800 e	303,200 e	304,300 e	305,200 e	306,300 e	305,353	311,000 de	311,500 de	314,800 de	317,800 de	321,700 de	325,800 de	330,500 de	336,200 de	339,500 be	346,090 bd	347,000 be	350,100 e	353,000 e	355,727	359,314	361,962 b	363,502	:
Sheffield,Population on the 1st of January, total	:	520,100 e	520,900 e	521,300 e	518,800 e	516,600 e	517,300 e	516,700 e	516,800 e	515,500 e	514,100 e	513,231	514,300 de	515,400 de	519,800 de	525,800 de	529,700 de	535,100 de	539,800 de	547,000 de	541,500 be	552,698 bd	554,600 be	558,700 e	561,900 e	566,743	572,581	575,920 b	580,148	:
Bristol,Population on the 1st of January, total	:	392,200 e	389,500 e	388,600 e	387,900 e	387,300 e	383,700 e	382,800 e	382,200 e	382,900 e	381,500 e	380,616	390,500 de	392,700 de	397,900 de	408,000 de	413,600 de	420,700 de	426,100 de	433,100 de	421,000 be	428,234 bd	430,300 be	435,000 e	440,000 e	445,901	451,771	457,609 b	461,329	:
Belfast,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	334,548	335,982	337,869 b	339,243	339,900	341,049	:
Greater Belfast,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	471,107	473,699	:	479,936	481,811	484,559	:
Newcastle upon Tyne,Population on the 1st of January, total	:	275,000 e	277,900 e	280,800 e	278,300 e	277,200 e	275,500 e	272,100 e	267,900 e	264,200 e	260,900 e	259,531	267,800 de	268,300 de	269,200 de	272,600 de	274,200 de	275,600 de	277,800 de	284,300 de	275,100 be	280,177 bd	280,800 be	284,600 e	288,300 e	291,359	294,681	294,778 b	298,019	:
Tyneside conurbation,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	821,200 be	829,319 bd	830,600 be	835,000 e	839,700 e	843,434	847,920	850,700 b	855,622	:
Leicester,Population on the 1st of January, total	:	281,500 e	281,600 e	285,000 e	288,400 e	290,200 e	288,500 e	286,800 e	283,700 e	282,700 e	280,700 e	279,915	283,000 de	283,800 de	286,900 de	291,400 de	296,800 de	300,900 de	303,800 de	304,700 de	322,300 be	329,839 bd	330,600 be	332,700 e	335,700 e	340,140	345,485	351,527 b	354,379	:
Leicester (greater city),Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	471,400 be	479,924 bd	481,000 be	483,700 e	487,200 e	492,218	498,438	506,309 b	511,124	:
Aberdeen City,Population on the 1st of January, total	212,870 e	214,120 e	216,140 e	218,250 e	219,500 e	219,880 e	218,350 e	217,300 e	215,650 e	214,630 e	213,340 e	212,125 e	209,300 de	207,500 de	205,700 de	205,900 de	206,900 de	209,300 de	210,400 de	213,800 de	218,400 be	222,793 bd	223,700 be	226,100 e	228,100 e	229,635	230,095	229,320	228,180	:
Cambridge,Population on the 1st of January, total	:	106,700 e	108,500 e	109,700 e	107,400 e	107,600 e	108,000 e	107,900 e	108,800 e	109,300 e	109,100 e	108,856	107,900 de	108,000 de	107,300 de	110,700 de	112,900 de	115,700 de	118,700 de	121,100 de	118,500 be	123,867 bd	123,900 be	125,900 e	127,600 e	129,711	131,353	124,777 b	125,339	:
Exeter,Population on the 1st of January, total	:	104,800 e	105,700 e	104,200 e	103,500 e	105,500 e	106,500 e	107,800 e	108,300 e	109,600 e	110,500 e	111,080	110,900 de	111,600 de	111,600 de	114,200 de	116,500 de	118,600 de	118,500 de	118,800 de	115,100 be	117,773 bd	118,200 be	120,600 e	123,100 e	125,818	128,555	128,219 b	129,672	:
Lincoln,Population on the 1st of January, total	:	84,000 e	85,200 e	85,400 e	84,800 e	84,800 e	84,400 e	84,500 e	84,600 e	85,000 e	85,200 e	85,579	85,500 de	86,100 de	87,200 de	87,800 de	88,100 de	88,200 de	88,000 de	88,500 de	91,500 be	93,541 bd	93,800 be	95,100 e	95,900 e	96,634	97,430	97,912 b	98,739	:
Gravesham,Population on the 1st of January, total	:	93,300 e	93,600 e	93,400 e	93,700 e	93,600 e	93,300 e	93,500 e	94,100 e	94,800 e	95,300 e	95,739	95,400 de	95,500 de	95,800 de	96,600 de	97,600 de	97,900 de	98,500 de	98,800 de	100,600 be	101,720 bd	102,300 be	103,300 e	104,500 e	105,780	106,554	106,168 b	106,253	:
Stevenage,Population on the 1st of January, total	:	75,700 e	75,300 e	75,300 e	75,400 e	75,600 e	76,300 e	77,600 e	78,300 e	78,600 e	79,300 e	79,734	79,900 de	79,900 de	79,300 de	79,400 de	79,300 de	79,700 de	80,500 de	81,000 de	82,600 be	83,957 bd	84,500 be	85,100 e	85,700 e	86,233	86,775	87,512 b	87,747	:
Wrexham,Population on the 1st of January, total	:	124,200 e	124,700 e	125,100 e	125,600 e	125,800 e	126,000 e	126,100 e	127,000 e	127,200 e	127,800 e	128,464	128,800 de	129,400 de	129,700 de	130,100 de	130,900 de	131,900 de	132,700 de	133,200 de	133,700 be	134,844 bd	135,500 be	136,200 e	136,600 e	136,681	136,679	135,490 b	135,849	:
Portsmouth,Population on the 1st of January, total	:	186,800 e	187,400 e	187,000 e	187,100 e	187,700 e	188,000 e	187,700 e	187,400 e	186,200 e	186,400 e	186,699	188,600 de	190,100 de	192,800 de	195,800 de	196,200 de	196,700 de	199,400 de	203,500 de	200,800 be	205,056 bd	206,100 be	207,100 e	208,300 e	210,422	213,295	214,027 b	214,926	:
Portsmouth (greater city),Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	513,800 be	519,943 bd	522,500 be	525,200 e	528,000 e	532,035	536,707	540,024 b	542,040	:
Worcester,Population on the 1st of January, total	:	83,300 e	84,600 e	86,100 e	87,800 e	89,300 e	90,400 e	91,400 e	92,300 e	92,900 e	93,300 e	93,372	93,100 de	93,300 de	92,900 de	93,100 de	93,100 de	93,400 de	93,900 de	94,700 de	97,400 be	98,768 bd	99,100 be	100,000 e	100,600 e	101,085	101,833	102,121 b	102,103	:
Coventry,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	302,600 de	303,200 de	302,200 de	303,500 de	304,800 de	306,500 de	310,500 de	312,800 de	309,500 be	316,960 bd	320,000 be	326,500 e	333,600 e	341,407	349,148	356,682 b	363,467	:
Kingston-upon-Hull,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	249,900 de	251,600 de	254,500 de	256,900 de	258,700 de	259,500 de	261,100 de	262,400 de	256,100 be	256,406 bd	256,700 be	257,400 e	257,600 e	258,353	259,618	260,354 b	260,659	:
Stoke-on-trent,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	239,500 de	239,200 de	239,900 de	239,700 de	239,500 de	238,200 de	239,300 de	238,900 de	246,600 be	249,008 bd	249,300 be	250,100 e	250,600 e	251,338	252,437	254,519 b	255,606	:
Stoke-on-trent,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	377,886	380,193	383,063 b	384,832	:
Wolverhampton,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	238,300 de	238,300 de	238,300 de	238,500 de	238,100 de	237,400 de	238,100 de	238,500 de	246,800 be	249,470 bd	250,400 be	251,300 e	252,300 e	253,697	255,514	258,972 b	260,967	:
Nottingham,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	272,200 de	276,400 de	280,900 de	286,200 de	289,600 de	292,300 de	296,600 de	300,800 de	297,300 be	305,680 bd	306,300 be	309,800 e	312,600 e	316,585	322,092	326,994 b	330,139	:
Greater Nottingham,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	630,000 be	639,839 bd	641,900 be	647,400 e	652,500 e	658,437	665,588	671,930 b	677,425	:
Wirral,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	314,000 de	313,300 de	312,000 de	310,800 de	309,800 de	308,900 de	308,500 de	308,500 de	318,400 be	319,783 bd	320,000 be	320,300 e	320,600 e	320,907	321,069	322,506 b	323,016	:
Bath and North East Somerset,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	173,800 be	176,016 bd	176,600 be	178,900 e	181,100 e	183,448	186,313	187,812 b	190,392	:
Thurrock,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	155,800 be	157,705 bd	158,900 be	160,200 e	162,100 e	164,227	166,105	169,411 b	171,460	:
Guildford,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	134,600 be	137,183 bd	138,600 be	140,400 e	142,000 e	144,519	147,050	147,311 b	147,833	:
Thanet,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	132,900 be	134,186 bd	135,000 be	136,200 e	137,600 e	139,091	140,212	141,083 b	141,578	:
Nuneaton and Bedworth,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	124,500 be	125,252 bd	125,600 be	125,900 e	126,100 e	126,247	126,669	128,167 b	128,781	:
Waveney,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	115,900 be	115,254 bd	115,500 be	115,800 e	115,900 e	116,051	116,348	117,532 b	118,104	:
Tunbridge Wells,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	113,400 be	115,049 bd	115,400 be	115,600 e	115,900 e	116,173	116,655	117,709 b	118,058	:
Ashford,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	116,300 be	117,956 bd	119,300 be	120,900 e	122,500 e	123,768	125,201	126,699 b	128,404	:
East Staffordshire,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	112,500 be	113,583 bd	114,100 be	114,700 e	115,300 e	115,852	116,371	117,245 b	118,063	:
Darlington,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	104,700 be	105,564 bd	105,400 be	105,300 e	105,400 e	105,378	105,518	106,337 b	106,457	:
Worthing,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	103,300 be	104,640 bd	105,300 be	105,900 e	106,500 e	107,300	108,171	109,439 b	109,829	:
Mansfield,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	103,900 be	104,466 bd	104,600 be	105,000 e	105,600 e	106,225	106,996	108,228 b	108,709	:
Chesterfield,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	103,200 be	103,788 bd	103,800 be	103,900 e	104,200 e	104,348	104,424	104,553 b	104,604	:
Burnley,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	87,000 be	87,059 bd	87,100 be	87,000 e	87,100 e	87,331	87,447	87,601 b	88,116	:
Great Yarmouth,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	96,700 be	97,277 bd	97,500 be	97,700 e	98,000 e	98,420	98,916	99,205 b	99,394	:
Woking,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	97,400 be	99,198 bd	99,400 be	99,500 e	99,500 e	99,431	99,565	101,275 b	101,148	:
Hartlepool,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	91,700 be	92,028 bd	92,200 be	92,500 e	92,600 e	92,542	92,655	92,932 b	93,131	:
Cannock Chase,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	96,700 be	97,462 bd	97,800 be	98,000 e	98,300 e	98,542	98,535	98,820 b	99,618	:
Eastbourne,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	98,400 be	99,412 bd	99,700 be	100,300 e	101,000 e	102,006	102,760	103,127 b	103,206	:
Hastings,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	89,500 be	90,254 bd	90,300 be	90,500 e	90,900 e	91,295	91,867	92,858 b	92,834	:
Hyndburn,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	80,900 be	80,734 bd	80,400 be	80,100 e	80,100 e	80,218	80,383	80,401 b	80,613	:
Redditch,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	83,300 be	84,214 bd	84,400 be	84,500 e	84,500 e	84,607	84,857	85,146 b	85,097	:
Tamworth,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	76,400 be	76,813 bd	77,000 be	77,100 e	77,100 e	77,127	77,048	76,769 b	76,603	:
Harlow,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	81,100 be	81,944 bd	82,400 be	83,000 e	84,000 e	84,981	85,696	86,029 b	86,393	:
Halton,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	124,200 be	125,746 bd	125,700 be	125,800 e	126,200 e	126,441	126,716	127,451 b	128,014	:
City of London,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	7,400 be	7,375 bd	7,500 be	7,600 e	7,900 e	8,416	9,081	7,450 b	8,180	:
Barking and Dagenham,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	180,200 be	185,911 bd	188,800 be	192,500 e	196,300 e	200,137	204,220	209,447 b	211,355	:
Barnet,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	348,600 be	356,386 bd	360,700 be	366,500 e	372,000 e	377,303	382,887	386,289 b	389,972	:
Bexley,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	229,400 be	231,997 bd	233,500 be	235,500 e	238,300 e	241,004	243,451	245,610 b	246,691	:
Brent,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	301,500 be	311,215 bd	313,500 be	316,000 e	319,000 e	322,387	326,133	327,765 b	329,949	:
Bromley,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	307,700 be	309,392 bd	312,300 be	316,000 e	319,600 e	323,068	325,873	328,486 b	330,244	:
Camden,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	213,800 be	220,338 bd	222,500 be	227,300 e	232,300 e	237,953	243,620	251,262 b	257,794	:
Croydon,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	355,400 be	363,378 bd	366,900 be	370,800 e	374,400 e	377,536	380,668	384,069 b	385,092	:
Ealing,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	332,000 be	338,449 bd	340,000 be	341,600 e	342,300 e	342,589	343,128	343,769 b	342,359	:
Enfield,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	304,800 be	312,466 bd	315,600 be	318,900 e	322,500 e	326,504	329,914	332,416 b	333,287	:
Greenwich,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	246,400 be	254,557 bd	257,800 be	262,000 e	266,300 e	271,741	277,285	280,994 b	284,518	:
Hackney,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	239,200 be	246,270 bd	249,700 be	254,700 e	260,300 e	266,080	271,268	274,584 b	277,797	:
Hammersmith and Fulham,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	180,500 be	182,493 bd	181,100 be	179,300 e	178,500 e	178,888	179,532	182,391 b	184,212	:
Haringey,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	251,300 be	254,926 bd	257,200 be	261,100 e	265,500 e	270,203	275,658	271,651 b	270,924	:
Harrow,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	235,500 be	239,056 bd	241,400 be	242,900 e	244,700 e	246,571	247,941	248,789 b	249,515	:
Havering,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	235,200 be	237,232 bd	238,800 be	240,900 e	244,000 e	247,530	250,934	254,705 b	256,925	:
Hillingdon,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	267,600 be	273,936 bd	278,600 be	284,300 e	289,700 e	295,213	300,103	301,121 b	303,584	:
Hounslow,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	246,300 be	253,957 bd	257,000 be	260,700 e	264,000 e	267,169	269,955	268,685 b	269,941	:
Islington,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	198,400 be	206,125 bd	208,700 be	213,400 e	218,400 e	224,361	230,279	233,528 b	237,071	:
Kensington and Chelsea,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	161,200 be	158,649 bd	157,100 be	155,800 e	155,900 e	156,951	157,219	156,257 b	155,969	:
Kingston upon Thames,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	158,000 be	160,060 bd	162,200 be	165,300 e	168,400 e	171,742	174,816	174,156 b	175,040	:
Lambeth,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	295,900 be	303,086 bd	307,300 be	312,200 e	316,200 e	321,324	326,171	323,556 b	324,983	:
Lewisham,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	271,500 be	275,885 bd	279,200 be	283,900 e	289,100 e	294,629	299,596	300,105 b	302,422	:
Merton,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	198,600 be	199,693 bd	201,400 be	202,700 e	203,400 e	204,040	204,797	206,379 b	206,119	:
Newham,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	292,800 be	307,984 bd	312,300 be	316,200 e	321,300 e	328,570	336,898	346,265 b	350,001	:
Redbridge,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	272,800 be	278,970 bd	283,000 be	286,400 e	290,700 e	294,924	298,021	301,557 b	302,822	:
Richmond upon Thames,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	185,300 be	186,990 bd	188,300 be	190,300 e	192,500 e	194,158	195,288	195,434 b	196,292	:
Southwark,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	282,400 be	288,283 bd	291,100 be	296,000 e	300,500 e	305,720	311,062	312,944 b	315,744	:
Sutton,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	188,700 be	190,146 bd	192,400 be	194,800 e	197,000 e	199,140	201,183	202,594 b	203,884	:
Tower Hamlets,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	244,500 be	254,096 bd	259,500 be	267,900 e	278,500 e	289,626	300,045	304,454 b	312,835	:
Waltham Forest,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	251,100 be	258,249 bd	261,200 be	264,200 e	266,900 e	269,595	273,507	274,864 b	276,103	:
Wandsworth,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	301,000 be	306,995 bd	308,000 be	309,400 e	311,300 e	313,345	315,320	322,377 b	324,866	:
Westminster,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	217,100 be	219,396 bd	221,700 be	225,300 e	230,100 e	237,796	244,957	243,385 b	250,060	:
Kirklees,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	388,562	:	:	393,200 be	:	:	:	403,600 de	:	416,600 be	422,458 bd	424,200 be	426,900 e	429,600 e	432,671	435,684	436,191 b	437,936	:
North Lanarkshire (Airdrie/Bellshill/Coatbridge/Motherwell),Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	322,800 be	:	:	:	325,500 de	:	335,700 be	337,727 bd	337,800 be	337,800 e	337,800 e	338,130	338,825	339,675	340,070	:
Wakefield,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	315,166	:	:	319,800 be	:	:	:	322,800 de	:	325,000 be	325,837 bd	327,000 be	328,700 e	330,500 e	332,569	335,297	338,942 b	342,914	:
Dudley,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	305,159	:	:	304,500 be	:	:	:	306,300 de	:	311,600 be	312,925 bd	313,400 be	314,000 e	315,100 e	316,132	317,049	318,489 b	320,023	:
Wigan,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	301,422	:	:	305,400 be	:	:	:	305,400 de	:	315,300 be	317,849 bd	318,400 be	319,200 e	320,300 e	321,499	322,541	324,088 b	325,369	:
Doncaster,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	286,864	:	:	289,000 be	:	:	:	289,300 de	:	300,700 be	302,402 bd	302,600 be	303,200 e	303,900 e	304,499	305,605	308,157 b	309,741	:
Stockport,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	284,515	:	:	282,200 be	:	:	:	282,500 de	:	282,400 be	283,275 bd	283,600 be	284,500 e	285,900 e	287,744	289,645	290,433 b	291,410	:
Sefton,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	282,951	:	:	281,800 be	:	:	:	274,200 de	:	274,000 be	273,790 bd	273,800 be	273,500 e	273,400 e	273,619	273,984	274,721 b	274,993	:
Sandwell,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	282,909	:	:	285,800 be	:	:	:	288,700 de	:	304,200 be	308,063 bd	310,200 be	312,800 e	315,500 e	318,087	321,084	324,046 b	326,419	:
Sunderland,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	280,801	:	:	282,700 be	:	:	:	280,900 de	:	276,100 be	275,506 bd	275,500 be	275,900 e	276,500 e	277,020	277,556	277,278 b	277,333	:
Bolton,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	261,024	:	:	264,800 be	:	:	:	263,700 de	:	274,100 be	276,786 bd	278,100 be	279,500 e	280,200 e	281,029	282,367	284,175 b	285,093	:
Walsall,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	253,502	:	:	252,800 be	:	:	:	255,100 de	:	265,800 be	269,323 bd	270,200 be	271,500 e	273,200 e	275,134	277,405	280,090 b	282,336	:
Medway,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	249,488	:	:	251,100 be	:	:	:	253,500 de	:	261,500 be	263,925 bd	266,600 be	269,700 e	272,600 e	275,254	277,517	277,287 b	277,736	:
Rotherham,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	248,190	:	:	252,300 be	:	:	:	252,900 de	:	256,600 be	257,280 bd	258,000 be	258,500 e	259,400 e	260,428	261,358	262,759 b	264,023	:
Brighton and Hove,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	247,821	:	:	251,900 be	:	:	:	253,800 de	:	267,500 be	273,369 bd	274,400 be	276,900 e	279,600 e	283,176	287,253	287,664 b	289,275	:
Brighton and Hove,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	346,479	350,720	351,335 b	353,070	:
Plymouth,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	240,714	:	:	244,400 be	:	:	:	255,600 de	:	253,700 be	256,384 bd	257,300 be	258,600 e	260,400 e	262,129	263,456	262,713 b	263,085	:
